ID,StationName,SubwayLine,AdministrativeArea,StationType
1004,1,1号线,Dist1,0
1006,159,1号线,Dist1,0
1008,108,1号线,Dist1,1
1009,83,1号线,Dist2,0
1010,107,1号线,Dist2,1
1011,154,1号线,Dist3,0
1012,150,1号线,Dist3,0
1013,64,1号线,Dist3,0
1014,89,1号线,Dist3,2
1015,80,1号线,Dist3,0
1016,97,1号线,Dist3,0
1017,110,1号线,Dist3,2
1018,106,1号线,Dist3,0
1019,34,1号线,Dist3,0
1020,128,1号线,Dist3,2
1021,74,1号线,Dist3,0
1022,149,1号线,Dist3,0
1023,49,1号线,Dist3,0
1024,65,1号线,Dist3,0
1025,9,2号线,Dist1,1
1026,163,2号线,Dist1,1
1027,53,2号线,Dist1,1
1028,78,2号线,Dist1,1
1030,79,2号线,Dist1,0
1031,18,2号线,Dist1,0
1032,123,2号线,Dist2,0
1033,127,2号线,Dist2,2
1034,81,2号线,Dist2,2
1035,27,2号线,Dist2,0
1036,48,2号线,Dist2,0
1037,151,2号线,Dist2,0
1038,68,2号线,Dist4,0
1039,52,2号线,Dist4,0
1040,76,2号线,Dist4,0
1041,57,2号线,Dist4,2
1042,71,2号线,Dist4,2
1043,139,2号线,Dist5,0
1044,24,2号线,Dist6,2
1045,105,2号线,Dist4,0
1046,51,2号线,Dist7,0
1048,143,3号线,Dist7,0
1049,156,3号线,Dist7,2
1050,61,3号线,Dist7,0
1051,50,3号线,Dist7,0
1052,119,3号线,Dist7,0
1053,66,3号线,Dist7,0
1054,12,3号线,Dist7,0
1055,161,3号线,Dist7,0
1056,21,3号线,Dist7,1
1057,133,3号线,Dist6,0
1058,22,3号线,Dist6,0
1059,138,3号线,Dist6,1
1060,41,3号线,Dist6,0
1061,30,3号线,Dist6,2
1062,67,3号线,Dist6,1
1063,144,3号线,Dist6,0
1064,29,3号线,Dist8,0
1065,126,3号线,Dist1,1
1067,40,3号线,Dist5,1
1068,131,3号线,Dist5,0
1069,39,3号线,Dist5,0
1070,100,3号线,Dist5,0
1072,167,3号线,Dist5,0
1073,113,3号线,Dist5,0
1074,141,3号线,Dist5,1
1075,142,3号线,Dist5,1
1076,158,3号线,Dist5,2
1077,44,3号线,Dist5,2
1078,117,3号线,Dist5,0
1079,147,3号线,Dist5,0
1080,42,3号线,Dist5,0
1081,35,3号线,Dist5,0
1082,109,3号线,Dist5,2
1084,33,3号线,Dist5,2
1085,112,3号线,Dist5,2
1086,153,3号线,Dist5,1
1087,125,3号线,Dist5,0
1088,121,3号线,Dist5,0
1089,11,3号线,Dist5,2
1091,134,10号线,Dist5,2
1092,59,4号线,Dist8,0
1093,19,4号线,Dist8,2
1094,62,4号线,Dist8,2
1095,165,4号线,Dist8,0
1096,58,4号线,Dist8,0
1097,38,4号线,Dist8,2
1098,43,5号线,Dist5,2
1099,10,5号线,Dist5,0
1100,96,5号线,Dist5,0
1101,132,5号线,Dist5,0
1102,37,5号线,Dist5,1
1103,16,5号线,Dist5,2
1104,69,5号线,Dist5,1
1107,54,5号线,Dist5,0
1108,120,11号线,Dist6,0
1109,130,11号线,Dist6,0
1110,146,11号线,Dist6,0
1111,25,11号线,Dist6,0
1112,3,11号线,Dist6,2
1113,46,11号线,Dist8,1
1114,86,11号线,Dist8,1
1115,15,11号线,Dist8,0
1117,162,11号线,Dist5,0
1118,118,11号线,Dist5,0
1119,20,11号线,Dist5,1
1120,55,11号线,Dist5,0
1121,70,11号线,Dist5,0
1122,13,11号线,Dist5,2
1124,140,11号线,Dist5,2
1125,77,11号线,Dist10,0
1126,122,11号线,Dist10,0
1127,36,11号线,Dist10,0
1128,166,11号线,Dist10,2
1129,99,11号线,Dist10,1
1130,124,11号线,Dist10,0
1131,28,11号线,Dist10,0
1132,82,11号线,Dist5,1
1133,164,11号线,Dist5,1
1134,152,11号线,Dist1,1
1135,45,11号线,Dist5,2
1136,75,10号线,Dist5,2
1137,136,12号线,Dist3,0
1138,137,12号线,Dist3,0
1139,101,12号线,Dist8,0
1140,17,12号线,Dist8,0
1141,26,12号线,Dist5,1
1142,90,12号线,Dist5,1
1143,95,12号线,Dist5,0
1144,93,12号线,Dist6,0
1145,92,12号线,Dist6,0
1146,32,12号线,Dist6,0
1147,91,12号线,Dist6,0
1149,157,10号线,Dist8,0
1150,168,10号线,Dist5,0
1151,85,10号线,Dist5,0
1152,2,10号线,Dist5,0
1153,4,10号线,Dist5,1
1154,103,10号线,Dist5,1
1155,145,10号线,Dist5,1
1156,88,10号线,Dist5,1
1157,94,10号线,Dist5,1
1158,160,10号线,Dist5,0
1159,7,10号线,Dist5,2
1160,6,10号线,Dist5,2
1161,8,10号线,Dist5,0
1162,102,10号线,Dist5,2
1165,31,12号线,Dist8,0
1166,72,12号线,Dist6,0
1169,116,12号线,Dist6,0
1170,129,2号线,Dist1,2
1171,47,2号线,Dist1,1
1172,60,12号线,Dist2,0
1173,148,12号线,Dist2,0
1174,73,12号线,Dist2,0
1175,23,11号线,Dist5,0
1176,56,11号线,Dist5,0
1177,115,11号线,Dist5,0
1178,63,11号线,Dist1,1
1185,114,10号线,Dist5,0
1186,135,10号线,Dist5,0
1187,87,10号线,Dist8,2
1188,84,4号线,Dist5,0
1191,111,11号线,Dist5,1
